,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
INSTRUMENT,FLOWMETER,20SW200097,20SAP200097,TBD,PP STD - PN10,Union End for Butt Weld / IR,FLOWMETER,,Pcs,GF (George Fischer),199335049+727508511,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200098,20SAP200098,DN 63,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),nd,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200099,20SAP200099,DN 50,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582507,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200100,20SAP200100,DN 40,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582506,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200101,20SAP200101,DN 32,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582505,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200102,20SAP200102,DN 25,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582504,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200103,20SAP200103,DN 20,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582503,,,,,X,,,,,,,
PRESSURE REGULATOR,PRESSURE REGULATOR,20SW200104,20SAP200104,DN 15,PP STD - PN10,Union End for Butt Weld / IR,PRESSURE REGULATOR,#VALUE!,Pcs,GF (George Fischer),167582502,,,,,X,,,,,,,
TUBO,TUBO,20SW200105,20SAP200105,DN 63,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480717,,,,,X,,,,,,X,
TUBO,TUBO,20SW200106,20SAP200106,DN 50,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480716,,,,,X,,,,,,X,
TUBO,TUBO,20SW200107,20SAP200107,DN 40,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480715,,,,,X,X,,,,,X,
TUBO,TUBO,20SW200108,20SAP200108,DN 32,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480714,,,,,X,X,,,,,X,
TUBO,TUBO,20SW200109,20SAP200109,DN 25,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480713,,,,,X,X,,,,,X,
TUBO,TUBO,20SW200110,20SAP200110,DN 20,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480712,,,,,X,X,,,,,X,
TUBO,TUBO,20SW200111,20SAP200111,DN 15,PP STD - PN10,Butt Welded / IR,TUBO,#VALUE!,M,GF (George Fischer),167480711,,,,,X,X,,,,,X,
VALVE,VALVE,20SW200112,20SAP200112,DN 63,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546448,,,,,X,,,,,,,
VALVE,VALVE,20SW200113,20SAP200113,DN 50,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546447,,,,,X,,,,,,,
VALVE,VALVE,20SW200114,20SAP200114,DN 40,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546446,,,,,X,,,,,,,
VALVE,VALVE,20SW200115,20SAP200115,DN 32,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546445,,,,,X,,,,,,,
VALVE,VALVE,20SW200116,20SAP200116,DN 25,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546444,,,,,X,,,,,,,
VALVE,VALVE,20SW200117,20SAP200117,DN 20,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546443,,,,,X,,,,,,,
VALVE,VALVE,20SW200118,20SAP200118,DN 15,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167546442,,,,,X,,,,,,,
VALVE,VALVE,20SW200119,20SAP200119,DN 63,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561008,,,,,X,,,,,,,
VALVE,VALVE,20SW200120,20SAP200120,DN 50,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561007,,,,,X,,,,,,,
VALVE,VALVE,20SW200121,20SAP200121,DN 40,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561006,,,,,X,,,,,,,
VALVE,VALVE,20SW200122,20SAP200122,DN 32,PP STD - PN10,Union End for Butt Weld / IR,DIA. VALVE,,Pcs,GF (George Fischer),167561005,,,,,X,,,,,,,
